File,Category,Category_ID,Complexity,Functions,Classes,Top_Imports
batch_dupe_content_analyzer.py,pathlib,5,52,10,1,"os, sys, csv, hashlib, ast"
cleanups.py,os,1,7,2,0,"os, subprocess"
test_transcribe_5.py,pathlib,2,0,0,0,"sys, pathlib, create_missing_transcripts"
ecosystem_analyzer.py,pathlib,3,38,9,1,"os, sys, json, hashlib, pathlib"
auto_cleanup.py,pathlib,2,10,3,0,"json, os, shutil"
organize_project2025_subdirs.py,pathlib,3,18,4,0,"argparse, os, shutil"
merge_zips.py,pathlib,4,27,1,0,"sys, zipfile, pathlib, collections, os"
content_based_duplicate_analyzer.py,pathlib,5,40,9,1,"os, sys, csv, hashlib, ast"
extract_vid_from_file-organizer.py,os,9,19,4,0,"os, subprocess, zipfile, requests"
organize (1).py,csv,0,3,1,0,"csv, os, shutil"
CONTENT_SIMILARITY_SCANNER.py,pathlib,5,43,8,1,"ast, hashlib, pathlib, collections, difflib"
Complete_Cleanup_Orchestrator.py,pathlib,3,19,7,1,"subprocess, sys, argparse, datetime, pathlib"
INTELLIGENT_VERSION_ANALYZER.py,pathlib,3,55,14,1,"ast, os, re, pathlib, datetime"
python-env-cleanup.py,pathlib,3,52,7,0,"os, shutil, subprocess, pathlib, collections"
get_vid_from_file-organizer.py,os,7,7,5,0,"os, openai, hashlib, re, shutil"
download_file_from_file-organizer.py,os,9,9,3,0,"__future__, json, os, shutil, time"
SMART_DEDUPLICATE.py,pathlib,5,32,7,1,"csv, shutil, pathlib, datetime, ast"
entrypoints_from_file-organizer.py,os,7,4,3,0,"itertools, os, shutil, sys, typing"
analyzerr.py,os,7,89,30,3,"json, os, posixpath, gyp.common"
smart_cleanup.py,pathlib,3,35,9,1,"json, shutil, datetime, pathlib, typing"
generate_inventory.py,pathlib,3,25,6,0,"argparse, ast, json, csv, pathlib"
organize_csv.py,pandas,6,0,2,0,pandas
organize_4.py,csv,0,3,1,0,"csv, os, shutil"
pyorganize.py,os,9,5,3,0,"openai, os, re"
simple_organize.py,pathlib,3,33,11,1,"re, shutil, pathlib"
fetch_file_from_file-organizer.py,os,9,0,0,0,"json, requests"
proc_vid_from_file-organizer.py,os,7,0,0,0,error
DEEP ENV & VOLUMES CONTENT-AWARE ANALYZER.py,pathlib,3,81,13,4,"os, json, sys, pathlib, typing"
hash_subtitle_from_file-organizer.py,os,7,8,12,0,"argparse, os, sys, threading, time"
etsy_organizer.py,pathlib,3,54,11,1,"hashlib, json, os, shutil, zipfile"
REMOVE_CONTENT_DUPLICATES.py,pathlib,5,25,6,1,"csv, shutil, ast, pathlib, datetime"
complete_final_cleanup.py,pathlib,3,28,4,1,"shutil, collections, pathlib, sys, datetime"
FUNCTIONAL_DUPLICATE_SCANNER.py,pathlib,5,32,7,1,"ast, re, pathlib, collections, shutil"
analyze_for_miniforge_mamba.py,pathlib,3,25,4,0,"os, re, json, pathlib, collections"
compare_zips.py,pathlib,2,36,2,0,"sys, zipfile, pathlib, collections, datetime"
intelligent_script_reorganizer.py,pathlib,3,25,5,1,"asyncio, json, sys, collections, datetime"
ULTRA_AGGRESSIVE_SIMILARITY.py,pathlib,5,45,9,1,"ast, difflib, pathlib, collections, shutil"
pyrepo_doc_organizer_from_file-utilities.py,pathlib,3,37,13,1,"__future__, argparse, ast, csv, html"
remove_merge_diff.py,pathlib,4,12,1,0,"sys, pathlib"
organize_music_library_merged.py,pathlib,3,8,3,0,"os, re, shutil"
safe_duplicate_cleanup.py,pathlib,5,18,8,1,"json, re, datetime, pathlib"
check_vid_from_file-organizer.py,pandas,6,14,4,0,"csv, os, re, pandas"
cleanup_duplicates copy.py,pathlib,2,56,8,0,"sys, hashlib, shutil, pathlib, collections"
FAST_SIMILARITY_SCANNER.py,pathlib,5,29,6,1,"ast, pathlib, collections, shutil, datetime"
deep-home-scan.py,pathlib,3,47,6,0,"os, subprocess, json, pathlib, collections"
compare_dirs.py,pathlib,2,32,4,0,"sys, pathlib, collections, hashlib"
merge_and_remove.py,pathlib,4,23,2,0,"sys, shutil, pathlib, collections"
etsy_focused_cleanup.py,pathlib,3,27,6,1,"json, os, re, shutil, collections"
RECURSIVE_DEEP_SCAN.py,pathlib,3,44,12,1,"os, ast, hashlib, pathlib, datetime"
compare_combine.py,pathlib,5,13,2,0,"sys, collections, pathlib"
auto_organize_dry_run_from_seo-optimizer.py,pathlib,3,38,5,1,"collections, datetime, pathlib"
FIX_NAMING_ISSUES.py,pathlib,3,12,5,1,"re, shutil, pathlib, datetime"
COMPREHENSIVE_DIRECTORY_CLEANUP.py,pathlib,3,31,6,1,"os, shutil, pathlib, datetime, collections"
cleanup2_from_03_utilities.py,pandas,6,17,5,0,"csv, os, re, datetime, pandas"
vanceai-removebg_from_file-organizer.py,os,9,11,3,0,"os, time, requests"
printify-organize_1.py,csv,8,15,7,0,"csv, os, time, datetime, cv2"
test_transcribe_5_files.py,os,7,23,7,0,"os, sys, time, logging, pathlib"
convert_text_from_file-organizer.py,os,7,60,47,2,"os, sys, datetime, inspect, io"
cleanupd.py,os,1,8,2,0,"os, subprocess"
duplicate_removal_analyzer.py,pathlib,5,30,8,1,"os, sys, csv, re, pathlib"
organize.py_02.py,csv,0,3,1,0,"csv, os, shutil"
tehSiTes_ultimate_cleanup.py,os,1,100,14,1,"difflib, hashlib, logging, os, re"
check_empty.py,pathlib,4,33,2,0,"sys, pathlib, collections"
generate_removal_scripts.py,pathlib,3,0,0,0,"csv, pathlib"
test_setup_from_file-organizer.py,os,7,13,5,0,"os, dotenv, subprocess, whisper, moviepy"
Run_Python_Cleanup.py,pathlib,3,0,1,0,"sys, pathlib, Python_Duplicate_Cleaner"
organize_plan_proposal.py,pathlib,3,36,6,1,"os, shutil, pathlib, hashlib, json"
cleanup_large_files.py,pathlib,2,52,4,0,"sys, zipfile, hashlib, pathlib, collections"
download_json_from_file-organizer.py,os,9,21,3,0,"gzip, json, os, requests, tqdm"
DEEP_SCAN_ALL_CONTENT.py,pathlib,5,38,12,1,"ast, os, re, pathlib, datetime"
merge_dirs.py,pathlib,4,15,1,0,"sys, shutil, pathlib, collections"
organize_files_from_utilities.py,pathlib,3,7,3,0,"shutil, datetime, pathlib"
CLEANUP_ROOT_DUPLICATES.py,pathlib,5,20,8,1,"hashlib, pathlib, shutil, datetime, sys"
AGGRESSIVE_CLEANUP_EXECUTE.py,pathlib,3,21,3,1,"os, shutil, pathlib, datetime"
organizer_from_video-downloader.py,pathlib,4,3,2,0,"argparse, pathlib, utils"
cleanup_duplicates.py,pathlib,2,22,5,0,"json, os, shutil"
organize_and_optimize.py,pathlib,3,38,12,1,"re, shutil, pathlib, PIL"
intelligent_deepdive_scanner.py,pathlib,3,60,10,2,"os, csv, json, hashlib, mimetypes"
cleanup_exact_duplicates.py,pathlib,2,39,3,0,"sys, hashlib, pathlib, collections"
final_cleanup_summary_1.py,pathlib,3,2,2,0,"json, datetime"
enhanced_duplicate_finder.py,pathlib,5,38,9,1,"os, sys, csv, re, pathlib"
organize_experiments.py,pathlib,3,14,3,1,"shutil, pathlib, sys, datetime"
printify-organize.py,csv,8,15,7,0,"csv, os, time, datetime, cv2"
aggressive-python-cleanup.py,os,7,0,0,0,error
canva_dedup_compress_organize.py,os,1,40,11,1,"os, sys, zipfile, hashlib, shutil"
dedupes_merge_diff_du.py,pathlib,2,6,2,0,"os, hashlib, csv, pathlib, collections"
FINAL_POLISH_CLEANUP.py,pathlib,3,12,5,1,"shutil, pathlib, datetime"
diagnose.py,os,1,22,18,1,"pathlib, cProfile, pstats, random, sys"
process_leonardo_from_file-organizer.py,os,9,21,3,0,"gzip, json, os, requests, tqdm"
function_scanner.py,pathlib,3,19,8,1,"ast, os, pathlib, collections, json"
execute_comprehensive_cleanup.py,pathlib,3,22,6,1,"shutil, pathlib, sys"
analyze_exact_duplicates.py,pathlib,2,50,3,0,"sys, hashlib, pathlib, collections, re"
home_cleanup.py,os,1,22,9,1,"hashlib, json, os, shutil, datetime"
deepdive_analysis.py,pathlib,2,61,5,1,"sys, hashlib, pathlib, collections, datetime"
FIND_DUPLICATE_CONTENT.py,pathlib,5,28,9,1,"hashlib, difflib, pathlib, collections, csv"
organize_html_files.py,os,1,29,9,1,"logging, shutil, pathlib"
cleanup_backup_files.py,pathlib,3,30,6,0,"os, sys, pathlib, collections, argparse"
tehSiTes_targeted_cleanup_from_file-utilities.py,os,1,76,10,1,"hashlib, logging, os, shutil, time"
csv_analyzer.py,pathlib,3,26,6,0,"csv, re, pathlib, typing, datetime"
cleanup_from_03_utilities.py,pandas,6,14,4,0,"csv, os, re, pandas"
