Old Path,New Path,Filename,Priority,Description,Status
/Users/steven/ADVANCED_CONTENT_AWARE_ANALYZER.py,~/Documents/CsV/Data-Analysis/ADVANCED_CONTENT_AWARE_ANALYZER.py,ADVANCED_CONTENT_AWARE_ANALYZER.py,48.57,Medium file | Python content | Data Analysis related | Part of 'As-a-Man-Thinketh' project | 22 functions | 5 classes,Pending
/Users/steven/cursor.txt,~/Documents/CsV/Data-Analysis/cursor.txt,cursor.txt,31.34,Large file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbishAnd_rubbish_is_love-259-folk-pluck_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_rubbishAnd_rubbish_is_love-259-folk-pluck_analysis.txt,Love_is_rubbishAnd_rubbish_is_love-259-folk-pluck_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/rubbish-love-disarray-indie-folk-309_analysis.txt,~/Documents/CsV/Data-Analysis/rubbish-love-disarray-indie-folk-309_analysis.txt,rubbish-love-disarray-indie-folk-309_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_4_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_4_analysis.txt,Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_4_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_2_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_2_analysis.txt,Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_308_Remix_2_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Folk_Song_of_a_Dark_Traveler234_analysis.txt,~/Documents/CsV/Data-Analysis/Folk_Song_of_a_Dark_Traveler234_analysis.txt,Folk_Song_of_a_Dark_Traveler234_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Folk_Song_of_a_Dark_Traveler202_analysis.txt,~/Documents/CsV/Data-Analysis/Folk_Song_of_a_Dark_Traveler202_analysis.txt,Folk_Song_of_a_Dark_Traveler202_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_219-indie_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_219-indie_analysis.txt,Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_219-indie_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_348-duo_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_348-duo_analysis.txt,Love_is_rubbish_Let_s_Get_Trashy_BanjoBandit_348-duo_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbish_Let_s_Get_Trashy_FastBanjoBandit_312_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_rubbish_Let_s_Get_Trashy_FastBanjoBandit_312_analysis.txt,Love_is_rubbish_Let_s_Get_Trashy_FastBanjoBandit_312_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/LoVe_is_RuBBisH_and_RuBBiSh_Violin-is_LoVe2_47_analysis.txt,~/Documents/CsV/Data-Analysis/LoVe_is_RuBBisH_and_RuBBiSh_Violin-is_LoVe2_47_analysis.txt,LoVe_is_RuBBisH_and_RuBBiSh_Violin-is_LoVe2_47_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_rubbish_Lets_Get_Trashy_Remastered349_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_rubbish_Lets_Get_Trashy_Remastered349_analysis.txt,Love_is_rubbish_Lets_Get_Trashy_Remastered349_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/blues_in_moon252_analysis.txt,~/Documents/CsV/Data-Analysis/blues_in_moon252_analysis.txt,blues_in_moon252_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/Love_is_Rubbish_and_Rubbish_is_Love-239_1_analysis.txt,~/Documents/CsV/Data-Analysis/Love_is_Rubbish_and_Rubbish_is_Love-239_1_analysis.txt,Love_is_Rubbish_and_Rubbish_is_Love-239_1_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
/Users/steven/Music/analysis/No_More_Love_Songs_Encore_Remastered339_analysis.txt,~/Documents/CsV/Data-Analysis/No_More_Love_Songs_Encore_Remastered339_analysis.txt,No_More_Love_Songs_Encore_Remastered339_analysis.txt,26.33,Small file | Markdown content | Data Analysis related | Part of 'YouTube Content' project,Pending
