old_path,new_path,category,size_mb,file_count,notes
heavenlyHands/,active/heavenlyHands/,active,0,0,Root level directory
BUSINESS/,active/BUSINESS/,active,0,0,Root level directory
BUSINESS_PROJECTS/,active/BUSINESS_PROJECTS/,active,0,0,Root level directory
DEVELOPMENT/,code/DEVELOPMENT/,code,0,0,Root level directory
CODE_PROJECTS/,code/CODE_PROJECTS/,code,0,0,Root level directory
AI_TOOLS/,code/AI_TOOLS/,code,0,0,Root level directory
UTILITIES_TOOLS/,code/UTILITIES_TOOLS/,code,0,0,Root level directory
automation/,code/automation/,code,0,0,Root level directory
CLIENT_PROJECTS/,active/CLIENT_PROJECTS/,active,0,0,Root level directory
AvaTar-ArTs.github.io/,active/AvaTar-ArTs.github.io/,active,0,0,Root level directory
ai-sites/,active/ai-sites/,active,0,0,Root level directory
SEO_MARKETING/,active/SEO_MARKETING/,active,0,0,Root level directory
CONTENT_ASSETS/,content/CONTENT_ASSETS/,content,0,0,Root level directory
DOCUMENTATION/,docs/DOCUMENTATION/,docs,0,0,Root level directory
docs/,docs/docs/,docs,0,0,Root level directory
docs-demos/,docs/docs-demos/,docs,0,0,Root level directory
docs-sphinx/,docs/docs-sphinx/,docs,0,0,Root level directory
Master_Documentation_Index/,docs/Master_Documentation_Index/,docs,0,0,Root level directory
ARCHIVES_BACKUPS/,archive/ARCHIVES_BACKUPS/,archive,0,0,Root level directory
DATA_ANALYTICS/,data/DATA_ANALYTICS/,data,0,0,Root level directory
other/,archive/other/,archive,0,0,Root level directory
OTHER_MISC/,archive/OTHER_MISC/,archive,0,0,Root level directory
analyze_income_opportunities.py,active/analyze_income_opportunities.py,active,0,1,Root level file
deepdive_analysis.py,active/deepdive_analysis.py,active,0,1,Root level file
generate_sorted_exports.py,active/generate_sorted_exports.py,active,0,1,Root level file
master_revenue_dashboard.py,active/master_revenue_dashboard.py,active,0,1,Root level file
organize_files.sh,active/organize_files.sh,active,0,1,Root level file
INCOME_OPPORTUNITIES.csv,active/INCOME_OPPORTUNITIES.csv,active,0,1,Root level file
ADDITIONAL_OPPORTUNITIES.csv,active/ADDITIONAL_OPPORTUNITIES.csv,active,0,1,Root level file
SORTED_QUICK_WINS.csv,active/SORTED_QUICK_WINS.csv,active,0,1,Root level file
SORTED_BY_ROI.csv,active/SORTED_BY_ROI.csv,active,0,1,Root level file
SORTED_BY_REVENUE.csv,active/SORTED_BY_REVENUE.csv,active,0,1,Root level file
SORTED_BY_READINESS.csv,active/SORTED_BY_READINESS.csv,active,0,1,Root level file
READY_TO_IMPLEMENT.csv,active/READY_TO_IMPLEMENT.csv,active,0,1,Root level file
SUMMARY_BY_CATEGORY.csv,active/SUMMARY_BY_CATEGORY.csv,active,0,1,Root level file
SUMMARY_BY_STATUS.csv,active/SUMMARY_BY_STATUS.csv,active,0,1,Root level file
reanalysis_output.txt,docs/reanalysis_output.txt,docs,0,1,Root level file
README.md,docs/README.md,docs,0,1,Root level file
ORGANIZATION_ANALYSIS_AND_PLAN.md,docs/ORGANIZATION_ANALYSIS_AND_PLAN.md,docs,0,1,Root level file
REORGANIZATION_PLAN.md,docs/REORGANIZATION_PLAN.md,docs,0,1,Root level file
FINAL_ORGANIZATION_SUMMARY.md,active/FINAL_ORGANIZATION_SUMMARY.md,active,0,1,Root level file
ORGANIZATION_COMPLETE.md,docs/ORGANIZATION_COMPLETE.md,docs,0,1,Root level file
ORGANIZATION_FINAL_SUMMARY.txt,active/ORGANIZATION_FINAL_SUMMARY.txt,active,0,1,Root level file
INCOME_OPPORTUNITIES_INDEX.md,active/INCOME_OPPORTUNITIES_INDEX.md,active,0,1,Root level file
HTML_PDF_INCOME_OPPORTUNITIES.md,active/HTML_PDF_INCOME_OPPORTUNITIES.md,active,0,1,Root level file
QUICK_ACTION_PLAN.md,docs/QUICK_ACTION_PLAN.md,docs,0,1,Root level file
TOP_OPPORTUNITIES_IMPLEMENTATION_GUIDE.md,active/TOP_OPPORTUNITIES_IMPLEMENTATION_GUIDE.md,active,0,1,Root level file
SEO_CONSOLIDATION_PLAN.md,docs/SEO_CONSOLIDATION_PLAN.md,docs,0,1,Root level file
DOCUMENTATION_STYLES_COMPLETE_2026-01-02.md,docs/DOCUMENTATION_STYLES_COMPLETE_2026-01-02.md,docs,0,1,Root level file
SPHINX_DOCS_COMPLETE_2026-01-02.md,docs/SPHINX_DOCS_COMPLETE_2026-01-02.md,docs,0,1,Root level file
QWEN.md,docs/QWEN.md,docs,0,1,Root level file
analysis_and_suggestions.md,docs/analysis_and_suggestions.md,docs,0,1,Root level file
comprehensive_improvements_suggestions.html,docs/comprehensive_improvements_suggestions.html,docs,0,1,Root level file
deepdive_index.md,docs/deepdive_index.md,docs,0,1,Root level file
directory_index.csv,docs/directory_index.csv,docs,0,1,Root level file
home_vs_external_comparison.md,docs/home_vs_external_comparison.md,docs,0,1,Root level file
WORKSPACE_CONSOLIDATION_HANDOFF.md,docs/WORKSPACE_CONSOLIDATION_HANDOFF.md,docs,0,1,Root level file
EXPORT_SUMMARY.txt,active/EXPORT_SUMMARY.txt,active,0,1,Root level file
