original_path,new_path,category,reason
comprehensive_reindex.py,tools/comprehensive_reindex.py,python_script,Consolidate Python scripts into tools/
comprehensive_home_deepdive.py,tools/comprehensive_home_deepdive.py,python_script,Consolidate Python scripts into tools/
scattered_files_scanner.py,tools/scattered_files_scanner.py,python_script,Consolidate Python scripts into tools/
comprehensive_home_scanner.py,tools/comprehensive_home_scanner.py,python_script,Consolidate Python scripts into tools/
quick_home_analysis.py,tools/quick_home_analysis.py,python_script,Consolidate Python scripts into tools/
generate_simple_mapping.py,tools/generate_simple_mapping.py,python_script,Consolidate Python scripts into tools/
generate_folder_flattening_mapping.py,tools/generate_folder_flattening_mapping.py,python_script,Consolidate Python scripts into tools/
execute_consolidation_auto.py,tools/execute_consolidation_auto.py,python_script,Consolidate Python scripts into tools/
execute_consolidation_simple.py,tools/execute_consolidation_simple.py,python_script,Consolidate Python scripts into tools/
final_duplicate_removal_report.py,tools/final_duplicate_removal_report.py,python_script,Consolidate Python scripts into tools/
create_intelligent_inventory.py,tools/create_intelligent_inventory.py,python_script,Consolidate Python scripts into tools/
generate_intelligence_dashboard.py,tools/generate_intelligence_dashboard.py,python_script,Consolidate Python scripts into tools/
restore_files.py,tools/restore_files.py,python_script,Consolidate Python scripts into tools/
multifolder_deepdive_consolidate.py,tools/multifolder_deepdive_consolidate.py,python_script,Consolidate Python scripts into tools/
master_file_scanner.py,tools/master_file_scanner.py,python_script,Consolidate Python scripts into tools/
run_deep_duplicate_analysis.py,tools/run_deep_duplicate_analysis.py,python_script,Consolidate Python scripts into tools/
home_directory_deep_dive.py,tools/home_directory_deep_dive.py,python_script,Consolidate Python scripts into tools/
quick_compare.py,tools/quick_compare.py,python_script,Consolidate Python scripts into tools/
split_json_analysis.py,tools/split_json_analysis.py,python_script,Consolidate Python scripts into tools/
advanced_content_aware_duplicate_finder.py,tools/advanced_content_aware_duplicate_finder.py,python_script,Consolidate Python scripts into tools/
generate_consolidation_mapping.py,tools/generate_consolidation_mapping.py,python_script,Consolidate Python scripts into tools/
scan_all_files.py,tools/scan_all_files.py,python_script,Consolidate Python scripts into tools/
advanced_content_intelligence.py,tools/advanced_content_intelligence.py,python_script,Consolidate Python scripts into tools/
comprehensive_content_aware_finder.py,tools/comprehensive_content_aware_finder.py,python_script,Consolidate Python scripts into tools/
consolidate_scattered_files.py,tools/consolidate_scattered_files.py,python_script,Consolidate Python scripts into tools/
enhanced_duplicate_finder.py,tools/enhanced_duplicate_finder.py,python_script,Consolidate Python scripts into tools/
phase1_consolidation.py,tools/phase1_consolidation.py,python_script,Consolidate Python scripts into tools/
cleanup_extra_files.py,tools/cleanup_extra_files.py,python_script,Consolidate Python scripts into tools/
quick_python_inventory.py,tools/quick_python_inventory.py,python_script,Consolidate Python scripts into tools/
execute_consolidation.py,tools/execute_consolidation.py,python_script,Consolidate Python scripts into tools/
find_all_duplicates_aggressive.py,tools/find_all_duplicates_aggressive.py,python_script,Consolidate Python scripts into tools/
flatten_nested_folders.py,tools/flatten_nested_folders.py,python_script,Consolidate Python scripts into tools/
create_organization_package.py,tools/create_organization_package.py,python_script,Consolidate Python scripts into tools/
compare_simplegallery.py,tools/compare_simplegallery.py,python_script,Consolidate Python scripts into tools/
csv-html-sphinx-docs_generator.py,tools/csv-html-sphinx-docs_generator.py,python_script,Consolidate Python scripts into tools/
cleanup_extra_files_auto.py,tools/cleanup_extra_files_auto.py,python_script,Consolidate Python scripts into tools/
DOCUMENTS_INDEXER_20260101.py,tools/DOCUMENTS_INDEXER_20260101.py,python_script,Consolidate Python scripts into tools/
verify_duplicates.py,tools/verify_duplicates.py,python_script,Consolidate Python scripts into tools/
find_duplicates.py,tools/find_duplicates.py,python_script,Consolidate Python scripts into tools/
generate_duplicates_csv.py,tools/generate_duplicates_csv.py,python_script,Consolidate Python scripts into tools/
find_duplicates_by_name_size.py,tools/find_duplicates_by_name_size.py,python_script,Consolidate Python scripts into tools/
music-analysis/ANALYZE_MUSIC.py,tools/analysis/ANALYZE_MUSIC.py,python_script,Consolidate Python scripts into tools/
music-analysis/IDENTIFY_YOUR_MUSIC.py,tools/analysis/IDENTIFY_YOUR_MUSIC.py,python_script,Consolidate Python scripts into tools/
organization-tools/downloads_categorizer.py,tools/downloads_categorizer.py,python_script,Consolidate Python scripts into tools/
organization-tools/duplicate_finder.py,tools/duplicate_finder.py,python_script,Consolidate Python scripts into tools/
organization-tools/database_inventory.py,tools/database_inventory.py,python_script,Consolidate Python scripts into tools/
html-assets/ANALYZE_TOPICS.py,tools/analysis/ANALYZE_TOPICS.py,python_script,Consolidate Python scripts into tools/
html-assets/ANALYZE_AND_ORGANIZE_HTML.py,tools/analysis/ANALYZE_AND_ORGANIZE_HTML.py,python_script,Consolidate Python scripts into tools/
html-assets/ANALYZE_DUPLICATES_AND_ROOT.py,tools/analysis/ANALYZE_DUPLICATES_AND_ROOT.py,python_script,Consolidate Python scripts into tools/
