Filename,Duration,File Size,Creation Date,Original Path
2092b8d1-da37-4f51-a62c-c26808c2a3a0.aac,865.12 KB,10-28-25,/Users/steven/Downloads/04_Images
2092b8d1-da37-4f51-a62c-c26808c2a3a0.aac,Unknown,Unknown,10-28-25,/Users/steven/Downloads/04_Images/2092b8d1-da37-4f51-a62c-c26808c2a3a0.aac
300dpi_NotebookLM Mind Map (1).png,99.82 KB,10-28-25,2685,537,299.9994,299.9994,/Users/steven/Downloads/04_Images/300dpi_NotebookLM Mind Map (1).png
300dpi_NotebookLM Mind Map (5).png,114.55 KB,10-28-25,2301,737,299.9994,299.9994,/Users/steven/Downloads/04_Images/300dpi_NotebookLM Mind Map (5).png
300dpi_NotebookLM Mind Map.png,13.65 KB,10-28-25,892,137,299.9994,299.9994,/Users/steven/Downloads/04_Images/300dpi_NotebookLM Mind Map.png
400styles.png,1.98 MB,10-28-25,973,5400,299.9994,299.9994,/Users/steven/Downloads/04_Images/400styles.png
NotebookLM Mind Map (1).png,129.40 KB,10-28-25,2685,537,,,/Users/steven/Downloads/04_Images/NotebookLM Mind Map (1).png
NotebookLM Mind Map (3).png,Unknown,10-28-25,,,,,/Users/steven/Downloads/04_Images/NotebookLM Mind Map (3).png
NotebookLM Mind Map (4).png,Unknown,10-28-25,,,,,/Users/steven/Downloads/04_Images/NotebookLM Mind Map (4).png
NotebookLM Mind Map (5).png,148.52 KB,10-28-25,2301,737,,,/Users/steven/Downloads/04_Images/NotebookLM Mind Map (5).png
NotebookLM Mind Map (7).png,1.75 MB,10-28-25,2279,5400,299.9994,299.9994,/Users/steven/Downloads/04_Images/NotebookLM Mind Map (7).png
NotebookLM Mind Map (8).png,1.80 MB,10-28-25,3605,5400,299.9994,299.9994,/Users/steven/Downloads/04_Images/NotebookLM Mind Map (8).png
NotebookLM Mind Map.png,16.36 KB,10-28-25,892,137,,,/Users/steven/Downloads/04_Images/NotebookLM Mind Map.png
Project_2025_Decoded__How_the__Grand_Game__Used_Trump_s_Chaos_t.m4a,51.57 MB,10-28-25,/Users/steven/Downloads/04_Images
Project_2025_Decoded__How_the__Grand_Game__Used_Trump_s_Chaos_t.m4a,Unknown,Unknown,10-28-25,/Users/steven/Downloads/04_Images/Project_2025_Decoded__How_the__Grand_Game__Used_Trump_s_Chaos_t.m4a
download.gif,42.00 B,10-28-25,1,1,,,/Users/steven/Downloads/04_Images/download.gif
santa.png,3.63 MB,10-28-25,1024,1536,299.9994,299.9994,/Users/steven/Downloads/04_Images/santa.png
