original_path,new_path,category,size_bytes,is_duplicate
/Users/steven/Documents/HTML/misc/ai-prompts/[🔗 link] — Leonardo ai1 b2ee256f071f41988d9f73e0d0434377.html,/Users/steven/Documents/HTML/organized/ai-prompts/[🔗 link] — Leonardo ai1 b2ee256f071f41988d9f73e0d0434377.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/Batch 1 Original Prompt + Variation Image.html,/Users/steven/Documents/HTML/organized/ai-prompts/Batch 1 Original Prompt + Variation Image.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/for Youtube_ 48+ Prompts To Scale Your Pro 15436221d8b280d5b6c8dda9b94014fb.html,/Users/steven/Documents/HTML/organized/ai-prompts/for Youtube_ 48+ Prompts To Scale Your Pro 15436221d8b280d5b6c8dda9b94014fb.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/Conversation_Summary_Request.html,/Users/steven/Documents/HTML/organized/ai-prompts/Conversation_Summary_Request.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/FGC_Alumni_Engagement-2025-04-29 1.html,/Users/steven/Documents/HTML/organized/ai-prompts/FGC_Alumni_Engagement-2025-04-29 1.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/Creating_Vivid_Image_Prompts_for_Amazon_Products 2.html,/Users/steven/Documents/HTML/organized/ai-prompts/Creating_Vivid_Image_Prompts_for_Amazon_Products 2.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/replace-with-your-actual-openai-api-key-d22f942f.html,/Users/steven/Documents/HTML/organized/ai-prompts/replace-with-your-actual-openai-api-key-d22f942f.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/Adventures_of_an_Aberration-2025-05-01.html,/Users/steven/Documents/HTML/organized/ai-prompts/Adventures_of_an_Aberration-2025-05-01.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/quantumforgelabs-x-avatararts-eb770b84.html,/Users/steven/Documents/HTML/organized/ai-prompts/quantumforgelabs-x-avatararts-eb770b84.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/Suno 70281e93ca434441aace460834682888.html,/Users/steven/Documents/HTML/organized/ai-prompts/Suno 70281e93ca434441aace460834682888.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/Fixing_External_Drive_Permissions.html,/Users/steven/Documents/HTML/organized/ai-prompts/Fixing_External_Drive_Permissions.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/Automating_CGPT_Actions.html,/Users/steven/Documents/HTML/organized/ai-prompts/Automating_CGPT_Actions.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/claude.html,/Users/steven/Documents/HTML/organized/ai-prompts/claude.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/[🔗 link] — Leonardo Ai da1e9fbfe7674b28b7a046851d69f901.html,/Users/steven/Documents/HTML/organized/ai-prompts/[🔗 link] — Leonardo Ai da1e9fbfe7674b28b7a046851d69f901.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/chat-export-10-2be397ec.html,/Users/steven/Documents/HTML/organized/ai-prompts/chat-export-10-2be397ec.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/new-awesome-prompts-2-7-a278d0e7.html,/Users/steven/Documents/HTML/organized/ai-prompts/new-awesome-prompts-2-7-a278d0e7.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-prompts/detailed and descriptive image prompts.html,/Users/steven/Documents/HTML/organized/ai-prompts/detailed and descriptive image prompts.html,ai-prompts,0,False
